subject_id,IL1B_IL6_TNF_axis_score,CXCL8_neutrophil_recruitment_score,epithelial_barrier_tight_junction_score,oxidative_stress_response_score,interferon_antiviral_response_score,wound_healing_epithelial_turnover_score
CG0001,14.0,20.9,92.0,26.2,9.5,19.0
CG0002,22.7,5.6,76.9,18.7,33.6,23.2
CG0003,16.5,7.0,96.1,22.9,0.0,23.7
CG0004,54.9,27.1,64.5,43.2,30.1,39.1
CG0005,37.6,18.2,79.1,26.7,35.4,31.1
CG0006,37.3,15.6,68.3,47.9,22.7,36.6
CG0007,14.3,15.5,82.9,13.7,17.0,18.9
CG0008,39.2,22.1,81.5,51.4,17.3,36.4
CG0009,28.2,24.9,89.2,21.0,0.0,21.8
CG0010,37.5,11.7,86.0,33.7,26.9,24.7
CG0011,36.9,18.0,74.7,41.6,21.6,39.8
CG0012,32.2,8.4,84.8,10.7,29.0,17.4
CG0013,44.6,34.8,65.1,41.8,25.0,34.9
CG0014,53.0,45.4,68.7,43.4,35.9,31.5
CG0015,24.0,19.0,79.3,8.0,15.8,25.6
CG0016,41.1,27.3,72.9,37.5,40.4,41.0
CG0017,47.5,0.0,80.5,38.7,17.1,38.0
CG0018,17.6,14.0,74.6,25.8,16.5,26.8
CG0019,37.6,18.5,80.3,41.3,16.2,30.0
CG0020,38.6,41.3,49.6,61.9,23.4,40.2
CG0021,44.9,10.3,72.8,22.3,34.7,40.1
CG0022,33.3,28.2,81.2,35.7,29.7,25.9
CG0023,23.7,14.5,86.8,33.2,26.9,38.8
CG0024,33.5,36.8,65.6,55.0,48.3,24.4
CG0025,37.7,7.9,87.0,27.8,30.7,14.2
CG0026,40.9,30.3,72.3,38.1,30.0,40.9
CG0027,24.3,21.0,76.1,41.5,28.9,45.9
CG0028,23.5,8.7,92.6,31.8,16.5,22.0
CG0029,17.9,5.1,77.3,48.4,23.0,20.4
CG0030,52.9,3.4,76.6,18.7,26.6,55.8
CG0031,17.9,11.5,93.6,21.9,33.6,28.4
CG0032,45.9,7.8,95.4,25.8,25.4,25.0
CG0033,17.1,12.4,82.6,24.8,4.0,20.1
CG0034,42.6,29.9,73.7,28.4,30.1,20.0
CG0035,49.4,29.9,82.8,35.5,15.3,29.6
CG0036,30.4,23.5,74.1,49.4,41.4,46.8
CG0037,36.8,39.3,50.6,29.9,20.0,39.2
CG0038,25.9,3.5,90.0,21.5,25.1,24.2
CG0039,49.0,37.0,62.0,53.0,42.0,51.0
CG0040,17.5,31.8,71.5,17.9,32.2,30.0
CG0041,24.9,24.5,75.0,39.8,38.5,32.8
CG0042,37.4,18.6,70.6,36.7,30.1,44.0
CG0043,46.9,16.5,54.3,38.1,27.3,36.8
CG0044,41.6,40.9,63.5,59.6,18.5,35.4
CG0045,17.5,4.1,79.4,33.1,15.2,24.8
CG0046,42.7,19.2,66.5,35.6,17.8,39.8
CG0047,27.1,15.8,77.8,45.1,29.3,52.0
CG0048,31.6,5.9,79.7,31.9,2.4,50.3
CG0049,21.3,29.5,80.7,25.0,13.6,23.5
CG0050,40.3,40.7,77.9,35.1,36.0,41.1
CG0051,19.2,19.1,62.3,28.8,22.9,21.5
CG0052,34.0,21.8,71.8,29.6,13.3,36.5
CG0053,36.6,22.4,73.4,34.7,12.1,23.7
CG0054,42.0,11.0,70.0,37.0,19.7,46.1
CG0055,48.1,19.2,71.9,39.5,41.6,30.0
CG0056,35.3,26.9,72.1,43.2,27.1,37.4
CG0057,18.9,0.0,83.9,35.9,5.6,30.8
CG0058,37.2,16.8,78.7,35.9,37.0,37.5
CG0059,31.0,31.7,79.2,36.7,16.3,34.9
CG0060,22.9,15.4,61.1,60.2,17.2,30.4
CG0061,25.2,0.0,93.7,7.0,8.9,32.8
CG0062,53.3,52.8,63.2,42.1,41.6,41.5
CG0063,38.1,24.7,64.2,38.4,36.1,17.5
CG0064,27.9,41.8,75.9,24.2,34.8,36.8
CG0065,31.6,17.5,76.7,3.8,25.7,25.4
CG0066,16.9,10.1,74.8,36.0,36.4,33.4
CG0067,34.6,24.1,85.3,38.6,23.6,26.0
CG0068,34.9,22.1,85.5,19.1,31.7,19.5
CG0069,44.4,2.2,75.3,42.8,24.9,33.4
CG0070,18.6,0.4,98.3,31.5,10.9,16.8
CG0071,34.7,17.9,87.2,37.7,28.2,35.4
CG0072,37.2,6.3,93.8,32.6,6.9,23.7
CG0073,32.3,34.2,70.8,52.4,28.8,40.2
CG0074,25.6,0.0,100.0,0.6,24.7,13.2
CG0075,25.3,4.1,81.2,25.8,18.4,25.6
CG0076,31.9,48.6,67.3,60.3,49.6,49.0
CG0077,39.7,6.7,89.1,38.8,12.8,29.2
CG0078,37.9,35.1,75.0,45.8,28.0,24.8
CG0079,23.8,7.7,86.2,24.7,46.9,19.9
CG0080,21.1,0.0,84.9,8.2,25.8,29.5
CG0081,40.5,50.1,68.2,42.0,38.7,42.7
CG0082,34.0,23.3,75.7,28.5,30.2,37.6
CG0083,36.0,20.0,74.9,46.6,20.6,42.7
CG0084,18.3,15.8,74.0,25.8,9.2,19.7
CG0085,22.0,29.8,89.3,33.5,21.4,38.3
CG0086,29.4,18.3,73.1,48.7,23.1,40.4
CG0087,26.3,12.9,79.6,25.2,9.0,34.3
CG0088,45.1,37.7,73.9,35.2,24.6,40.5
CG0089,41.7,19.4,76.8,33.8,34.9,35.6
CG0090,31.5,11.4,77.3,42.8,20.4,31.5
