subject_id,oral_dysbiosis_index,alpha_diversity_shannon,Prevotella_relative_abundance,Fusobacterium_relative_abundance,Porphyromonas_relative_abundance,Streptococcus_relative_abundance,Rothia_relative_abundance,LPS_biosynthesis_functional_score,butyrate_production_functional_score
CG0001,17.6,4.21,0.135,0.082,0.083,0.33,0.1,24.6,95.2
CG0002,14.0,3.49,0.222,0.054,0.045,0.281,0.045,21.6,95.8
CG0003,1.8,4.46,0.09,0.043,0.031,0.407,0.139,6.7,100.0
CG0004,37.7,3.69,0.237,0.021,0.058,0.347,0.086,38.0,78.8
CG0005,28.0,3.97,0.19,0.03,0.038,0.271,0.125,11.0,81.9
CG0006,27.1,3.95,0.229,0.08,0.034,0.3,0.074,14.5,76.3
CG0007,11.3,4.39,0.225,0.0,0.091,0.359,0.122,2.0,92.7
CG0008,44.7,3.57,0.243,0.069,0.033,0.302,0.093,29.8,82.9
CG0009,16.3,3.78,0.161,0.034,0.073,0.221,0.086,2.7,87.7
CG0010,33.2,4.01,0.206,0.081,0.061,0.314,0.077,33.0,95.7
CG0011,23.2,4.37,0.189,0.1,0.055,0.248,0.075,24.7,65.8
CG0012,11.3,3.9,0.14,0.084,0.061,0.224,0.123,8.0,73.3
CG0013,41.1,3.3,0.202,0.08,0.052,0.366,0.132,38.2,78.0
CG0014,45.4,3.7,0.31,0.042,0.056,0.238,0.061,43.9,81.1
CG0015,17.2,4.72,0.19,0.094,0.056,0.26,0.147,22.0,100.0
CG0016,28.2,3.71,0.176,0.068,0.082,0.37,0.126,30.1,81.3
CG0017,11.0,3.6,0.167,0.087,0.023,0.318,0.121,6.3,85.9
CG0018,13.4,3.82,0.197,0.095,0.052,0.254,0.109,20.1,99.4
CG0019,29.0,3.66,0.23,0.078,0.011,0.357,0.116,16.2,69.4
CG0020,57.5,3.76,0.198,0.044,0.053,0.255,0.075,38.4,60.3
CG0021,23.8,3.76,0.174,0.043,0.086,0.35,0.118,24.4,78.6
CG0022,25.5,3.91,0.221,0.05,0.035,0.338,0.081,24.9,69.0
CG0023,7.7,4.49,0.235,0.076,0.073,0.307,0.074,17.2,93.9
CG0024,30.7,3.73,0.224,0.067,0.054,0.305,0.134,25.2,82.1
CG0025,14.4,4.03,0.181,0.051,0.033,0.286,0.094,3.3,83.2
CG0026,33.9,4.24,0.253,0.091,0.055,0.212,0.116,30.4,95.5
CG0027,30.2,3.58,0.226,0.067,0.062,0.229,0.11,20.6,95.6
CG0028,10.7,3.84,0.192,0.066,0.041,0.312,0.132,1.9,73.2
CG0029,19.5,3.76,0.206,0.121,0.005,0.184,0.106,16.7,87.4
CG0030,14.7,4.2,0.239,0.062,0.058,0.303,0.144,14.7,95.5
CG0031,14.3,3.73,0.249,0.048,0.007,0.399,0.128,16.3,83.4
CG0032,22.1,3.74,0.231,0.035,0.014,0.311,0.088,19.5,90.6
CG0033,17.9,4.24,0.306,0.019,0.02,0.358,0.138,7.0,85.8
CG0034,19.2,4.14,0.264,0.059,0.023,0.233,0.086,14.2,74.2
CG0035,35.4,3.94,0.198,0.061,0.062,0.228,0.102,20.2,76.9
CG0036,33.0,3.93,0.193,0.073,0.103,0.22,0.144,28.2,81.4
CG0037,42.1,3.68,0.245,0.151,0.061,0.192,0.142,37.4,89.1
CG0038,4.9,4.3,0.2,0.022,0.058,0.354,0.098,6.1,97.5
CG0039,39.0,3.78,0.245,0.082,0.061,0.265,0.101,34.0,70.0
CG0040,19.5,4.4,0.271,0.045,0.079,0.314,0.077,27.7,80.3
CG0041,35.7,3.86,0.274,0.065,0.061,0.24,0.108,26.5,88.7
CG0042,26.1,3.62,0.158,0.05,0.034,0.361,0.064,19.1,84.0
CG0043,27.1,3.99,0.194,0.025,0.059,0.241,0.101,28.3,86.3
CG0044,30.7,3.71,0.306,0.081,0.041,0.276,0.073,28.3,87.5
CG0045,16.1,3.69,0.247,0.07,0.044,0.259,0.145,18.7,77.9
CG0046,42.7,3.51,0.211,0.049,0.054,0.276,0.132,31.7,75.2
CG0047,23.5,3.77,0.157,0.092,0.041,0.281,0.067,15.7,82.7
CG0048,10.5,4.32,0.221,0.049,0.065,0.316,0.115,7.4,96.7
CG0049,31.6,3.87,0.195,0.092,0.02,0.298,0.137,21.1,95.4
CG0050,33.0,4.0,0.235,0.046,0.072,0.221,0.128,25.2,82.1
CG0051,30.9,3.89,0.269,0.098,0.027,0.165,0.093,27.6,72.0
CG0052,38.7,4.06,0.268,0.064,0.049,0.287,0.087,25.6,85.4
CG0053,18.8,4.47,0.239,0.031,0.014,0.274,0.071,12.6,76.9
CG0054,35.1,3.98,0.234,0.053,0.045,0.244,0.144,21.4,79.8
CG0055,33.2,3.78,0.291,0.09,0.002,0.255,0.088,31.6,81.4
CG0056,28.9,3.83,0.16,0.085,0.0,0.234,0.102,21.0,88.5
CG0057,4.9,4.21,0.151,0.027,0.025,0.192,0.099,6.6,87.0
CG0058,25.5,3.35,0.165,0.061,0.069,0.369,0.151,7.6,84.4
CG0059,22.7,3.7,0.273,0.048,0.103,0.189,0.108,25.6,85.1
CG0060,23.9,4.3,0.274,0.039,0.062,0.304,0.082,24.0,89.5
CG0061,5.8,4.18,0.176,0.013,0.002,0.319,0.072,0.0,100.0
CG0062,52.0,3.7,0.344,0.086,0.103,0.341,0.05,35.1,75.9
CG0063,29.9,3.64,0.24,0.0,0.031,0.299,0.087,33.7,83.8
CG0064,18.9,4.1,0.26,0.042,0.047,0.327,0.126,37.9,75.2
CG0065,16.7,3.84,0.162,0.047,0.079,0.268,0.127,10.5,88.1
CG0066,27.5,4.51,0.246,0.104,0.014,0.307,0.13,18.2,74.0
CG0067,21.2,4.1,0.236,0.096,0.08,0.185,0.096,15.6,79.3
CG0068,28.0,4.09,0.281,0.091,0.01,0.295,0.115,14.7,78.6
CG0069,17.7,4.32,0.2,0.093,0.067,0.238,0.083,3.2,91.5
CG0070,12.5,4.45,0.25,0.045,0.048,0.365,0.057,0.0,94.9
CG0071,16.1,4.48,0.164,0.059,0.066,0.363,0.117,18.5,84.7
CG0072,14.2,4.27,0.211,0.109,0.048,0.288,0.122,16.1,94.1
CG0073,30.5,4.01,0.225,0.074,0.034,0.33,0.111,41.9,86.1
CG0074,0.0,4.6,0.19,0.036,0.083,0.326,0.148,4.6,99.7
CG0075,7.9,3.87,0.167,0.04,0.023,0.223,0.13,2.3,87.6
CG0076,52.2,3.58,0.257,0.118,0.096,0.249,0.131,47.3,62.4
CG0077,16.2,3.88,0.237,0.004,0.046,0.387,0.15,21.6,78.2
CG0078,35.8,3.43,0.33,0.079,0.022,0.28,0.079,28.0,86.1
CG0079,21.9,4.47,0.193,0.099,0.051,0.415,0.127,16.3,83.8
CG0080,0.0,3.98,0.252,0.032,0.033,0.337,0.103,0.0,97.0
CG0081,40.4,4.09,0.301,0.048,0.08,0.372,0.044,41.7,77.7
CG0082,21.1,3.87,0.202,0.075,0.147,0.255,0.075,16.5,85.1
CG0083,21.6,4.16,0.15,0.072,0.04,0.351,0.096,15.9,82.5
CG0084,15.3,4.13,0.189,0.047,0.051,0.255,0.11,9.7,96.5
CG0085,38.8,4.07,0.206,0.045,0.045,0.224,0.131,23.6,84.2
CG0086,34.7,4.09,0.23,0.062,0.091,0.176,0.106,20.8,74.8
CG0087,14.6,3.76,0.192,0.064,0.05,0.245,0.104,10.7,94.1
CG0088,37.3,3.42,0.153,0.09,0.037,0.214,0.128,33.9,81.9
CG0089,50.8,3.78,0.256,0.061,0.048,0.295,0.098,27.3,73.7
CG0090,16.4,4.89,0.231,0.127,0.057,0.243,0.131,18.0,78.9
